id	gene	flag	first_pos	second_pos	length	quality	essentiel
ECK0183-JW0179	dnaE	145	205075	201566	-3559	50M	True
ECK0184-JW0180	accA	147	206047	205061	-1036	50M	True
ECK0185-JW0181	ldcC	147	208287	206119	-2218	50M	False
ECK0186-JW0182	yaeR	147	208733	208317	-466	50M	False
ECK0187-JW0183	tilS	147	210096	208771	-1375	50M	True
ECK0188-JW0184	rof	147	210417	210136	-331	50M	False
ECK0189-JW0185	yaeP	147	210610	210383	-277	50M	False
ECK0190-JW0186	yaeQ	147	211303	210731	-622	50M	False
ECK0191-JW0187	yaeJ	147	211722	211273	-499	50M	False
ECK0192-JW0188	nlpE	147	212446	211709	-787	50M	False
ECK0193-JW5016	yaeF	147	213542	212637	-955	50M	False
ECK0194-JW0190	proS	147	215260	213515	-1795	50M	True
ECK0195-JW0191	yaeB	147	216079	215345	-784	50M	False
ECK0196-JW0192	rcsF	147	216480	216049	-481	50M	False
ECK0197-JW0193	metQ	147	217413	216571	-892	50M	False
ECK0198-JW0194	metI	147	218106	217426	-730	50M	False
ECK0199-JW0195	metN	147	219130	218072	-1108	50M	False
ECK0200-JW0196	gmhB	147	219875	219273	-652	50M	False
ECK0207-JW0197	dkgB	147	226437	225607	-880	50M	False
ECK0208-JW0198	yafC	147	227366	226425	-991	50M	False
ECK0209-JW5017	yafD	147	228389	227583	-856	50M	False
ECK0210-JW0200	yafE	147	229016	228366	-700	50M	False
ECK0211-JW5018	mltD	147	230440	229055	-1435	50M	False
ECK0212-JW0202	gloB	147	231267	230485	-832	50M	False
ECK0213-JW0203	yafS	147	232005	231256	-799	50M	False
ECK0214-JW0204	rnhA	147	232487	231993	-544	50M	False
ECK0215-JW0205	dnaQ	147	233265	232507	-808	50M	False
ECK0217-JW0206	yafT	147	234587	233775	-862	50M	False
ECK0218-JW0207	yafU	147	235569	235204	-415	50M	False
ECK0219-JW0208	yafF	147	235845	235630	-265	50M	True
ECK0220-JW5019	yafV	147	236683	235877	-856	50M	False
ECK0221-JW0210	ivy	147	237283	236783	-550	50M	False
ECK0222-JW5020	fadE	147	239866	237317	-2599	50M	False
ECK0223-JW0212	lpcA	147	240588	239983	-655	50M	False
ECK0224-JW0213	yafJ	147	241561	240767	-844	50M	False
ECK0225-JW0214	yafK	147	242290	241523	-817	50M	False
ECK0226-JW0215	yafQ	147	242724	242419	-355	50M	False
ECK0227-JW0216	dinJ	147	242987	242700	-337	50M	False
ECK0228-JW0217	yafL	147	243928	243152	-826	50M	False
ECK0229-JW0218	yafM	147	244601	244077	-574	50M	False
ECK0230-JW5811	fhiA	147	246582	244816	-1816	50M	False
ECK0231-JW5812	mbhA	147	247294	246482	-862	50M	False
ECK0232-JW0221	dinB	147	248420	247338	-1132	50M	False
ECK0233-JW0222	yafN	147	248765	248445	-370	50M	False
ECK0234-JW0223	yafO	147	249166	248741	-475	50M	False
ECK0235-JW0224	yafP	147	249628	249149	-529	50M	False
ECK0236-JW0225	ykfJ	147	250200	249907	-343	50M	False
ECK0237-JW0226	prfH	147	250669	250142	-577	50M	False
ECK0238-JW0227	pepD	147	252201	250717	-1534	50M	False
ECK0239-JW0228	gpt	147	252902	252417	-535	50M	False
ECK0240-JW0229	frsA	147	254238	252967	-1321	50M	False
ECK0241-JW0230	crl	147	254697	254269	-478	50M	False
ECK0242-JW0231	phoE	147	255809	254727	-1132	50M	False
ECK0243-JW0232	proB	147	257182	256052	-1180	50M	False
ECK0244-JW0233	proA	147	258447	257167	-1330	50M	False
ECK0246-JW0234	ykfI	147	259378	259010	-418	50M	False
ECK0247-JW0235	yafW	147	259716	259372	-394	50M	False
ECK0248-JW5956	ykfH	147	259956	259708	-298	50M	False
ECK0249-JW0236	ykfG	147	260441	259938	-553	50M	False
ECK0250-JW5022	yafX	147	261089	260430	-709	50M	False
ECK0251-JW5023	ykfF	147	261414	260986	-478	50M	False
ECK0252-JW0239	ykfB	147	261796	261302	-544	50M	False
ECK0253-JW0240	yafY	147	262676	261792	-934	50M	False
none-JW0241	none	147	262438	262235	-253	50M	False
ECK0254-JW0242	yafZ	147	263714	262866	-898	50M	False
ECK0255-JW0243	ykfA	147	264669	263779	-940	50M	False
ECK0256-JW0244	perR	147	265891	264971	-970	50M	False
ECK0259-JW0247	insO	147	267946	267494	-502	50M	False
none-JW5025	none	147	268514	268365	-199	50M	False
ECK0260-JW5813	ykfC	147	269683	268526	-1207	50M	False
ECK0262-JW5027	mmuP	147	272419	270989	-1480	50M	False
ECK0263-JW0253	mmuM	147	273338	272379	-1009	50M	False
ECK0264-JW0254	afuC	147	274511	273438	-1123	50M	False
ECK0265-JW0255	afuB	147	274885	274496	-439	50M	False
ECK0266-JW0258	ykgN	147	276071	275706	-415	50M	False
ECK0267-JW0259	yagB	147	276444	276067	-427	50M	False
ECK0268-JW0260	yagA	147	277692	276511	-1231	50M	False
ECK0269-JW0261	yagE	147	278877	277921	-1006	50M	False
ECK0270-JW0262	yagF	147	280859	278865	-2044	50M	False
ECK0271-JW0263	yagG	147	282468	281059	-1459	50M	True
ECK0272-JW0264	yagH	147	284090	282453	-1687	50M	False
ECK0273-JW0265	yagI	147	284871	284086	-835	50M	False
ECK0274-JW0266	argF	147	286014	284983	-1081	50M	False
none-JW5028	none	147	286329	286174	-205	50M	False
ECK0275-JW0270	yagJ	147	287922	287164	-808	50M	False
ECK0276-JW0271	yagK	147	288657	288004	-703	50M	False
ECK0277-JW0272	yagL	147	289627	288902	-775	50M	False
ECK0278-JW0273	yagM	147	290508	289627	-931	50M	False
none-JW5029	none	147	290851	290600	-301	50M	False
ECK0279-JW0274	yagN	147	291288	290821	-517	50M	False
ECK0280-JW0275	intF	147	292805	291378	-1477	50M	False
ECK0281-JW0276	yagP	147	293500	293063	-487	50M	False
ECK0282-JW0277	yagQ	147	294435	293452	-1033	50M	False
ECK0283-JW0278	yagR	147	296643	294418	-2275	50M	False
ECK0284-JW0279	yagS	147	297596	296613	-1033	50M	False
ECK0285-JW0280	yagT	147	298282	297566	-766	50M	False
ECK0286-JW0281	yagU	147	299296	298655	-691	50M	False
ECK0287-JW0282	ykgJ	147	299891	299535	-406	50M	False
ECK0288-JW5030	yagV	147	300959	300177	-832	50M	False
ECK0289-JW0284	yagW	147	302526	300856	-1720	50M	False
ECK0290-JW0285	yagX	147	305041	302489	-2602	50M	False
ECK0291-JW0286	yagY	147	305735	305040	-745	50M	False
ECK0292-JW0287	yagZ	147	306380	305766	-664	50M	False
ECK0293-JW5031	ykgK	147	306706	306428	-328	50M	False
none-JW5032	none	147	307741	307604	-187	50M	False
ECK0294-JW5033	ykgL	147	308030	307770	-310	50M	False
ECK0295-JW5034	ykgM	147	308223	308056	-217	50M	False
ECK0296-JW5035	ykgM	147	308486	308196	-340	50M	False
ECK0297-JW0291	eaeH	147	310935	310021	-964	50M	False
ECK0300-JW5037	ykgA	147	312878	312132	-796	50M	False
ECK0301-JW5038	ykgB	147	314037	313408	-679	50M	False
ECK0302-JW5039	ykgI	147	314291	314013	-328	50M	False
ECK0303-JW5040	ykgC	147	315710	314358	-1402	50M	False
ECK0304-JW0298	ykgD	147	316772	315891	-931	50M	False
ECK0305-JW5041	ykgE	147	318018	317338	-730	50M	False
ECK0306-JW0300	ykgF	147	319456	318002	-1504	50M	False
ECK0307-JW5042	ykgG	147	320144	319428	-766	50M	False
ECK0308-JW0302	ykgH	147	321073	320378	-745	50M	False
ECK0309-JW0303	betA	147	322956	321259	-1747	50M	False
ECK0310-JW0304	betB	147	324442	322943	-1549	50M	False
ECK0311-JW0305	betI	147	325043	324429	-664	50M	False
ECK0312-JW0306	betT	147	327187	325127	-2110	50M	False
ECK0313-JW0307	yahA	147	329150	328035	-1165	50M	False
ECK0314-JW0308	yahB	147	330142	329183	-1009	50M	False
ECK0315-JW0309	yahC	147	330731	330207	-574	50M	False
ECK0316-JW0310	yahD	147	331576	330944	-682	50M	False
ECK0317-JW0311	yahE	147	332479	331589	-940	50M	False
ECK0318-JW0312	yahF	147	334016	332442	-1624	50M	False
ECK0319-JW0313	yahG	147	335434	333989	-1495	50M	False
ECK0320-JW5893	yahH	147	335780	335328	-502	50M	False
ECK0321-JW0315	yahI	147	336806	335829	-1027	50M	False
ECK0322-JW0316	yahJ	147	338198	336789	-1459	50M	False
ECK0323-JW0317	yahK	147	339624	338548	-1126	50M	False
ECK0324-JW0318	yahL	147	340682	339840	-892	50M	False
ECK0325-JW5044	yahM	147	341340	341038	-352	50M	False
ECK0326-JW0320	yahN	147	342046	341348	-748	50M	False
ECK0327-JW0321	yahO	147	342450	342148	-352	50M	False
ECK0328-JW0322	prpR	147	344152	342539	-1663	50M	False
ECK0329-JW0323	prpB	147	345263	344346	-967	50M	False
ECK0330-JW0324	prpC	147	346872	345676	-1246	50M	False
ECK0331-JW0325	prpD	147	348357	346879	-1528	50M	False
ECK0332-JW0326	prpE	147	350283	348370	-1963	50M	False
ECK0333-JW0327	codB	147	351872	350586	-1336	50M	False
ECK0334-JW0328	codA	147	353145	351835	-1360	50M	False
ECK0335-JW5894	cynR	147	354399	353473	-976	50M	False
ECK0336-JW0330	cynT	147	355149	354463	-736	50M	False
ECK0337-JW0331	cynS	147	355650	355153	-547	50M	False
ECK0338-JW0332	cynX	147	356837	355656	-1231	50M	False
ECK0339-JW0333	lacA	147	357569	356931	-688	50M	False
ECK0340-JW0334	lacY	147	358888	357608	-1330	50M	False
ECK0342-JW0336	lacI	147	361741	360652	-1139	50M	False
ECK0343-JW0337	mhpR	147	362765	361791	-1024	50M	False
ECK0344-JW0338	mhpA	147	364488	362797	-1741	50M	False
ECK0345-JW0339	mhpB	147	365434	364463	-1021	50M	False
ECK0346-JW0340	mhpC	147	367541	365410	-2181	50M	False
ECK0347-JW0341	mhpD	147	368360	367524	-886	50M	False
ECK0348-JW0342	mhpF	147	369307	368330	-1027	50M	False
ECK0349-JW0343	mhpE	147	370317	369277	-1090	50M	False
ECK0350-JW5046	mhpT	147	372106	370868	-1288	50M	False
ECK0351-JW0345	yaiL	147	372747	372181	-616	50M	False
none-JW5047	none	147	372876	372742	-184	50M	False
ECK0352-JW0346	frmB	147	373822	372962	-910	50M	False
ECK0353-JW0347	frmA	147	375025	373889	-1186	50M	False
ECK0354-JW0348	frmR	147	375335	375033	-352	50M	False
ECK0355-JW0349	yaiO	147	376296	375496	-850	50M	False
ECK0356-JW0350	yaiX	147	376513	376271	-292	50M	False
ECK0359-JW5814	yaiF	147	378344	377931	-463	50M	False
ECK0360-JW0355	yaiP	147	379389	378166	-1273	50M	False
ECK0361-JW0356	yaiS	147	380070	379486	-634	50M	False
ECK0362-JW0357	tauA	147	381630	380641	-1039	50M	False
ECK0363-JW0358	tauB	147	382410	381616	-844	50M	False
ECK0364-JW0359	tauC	147	383234	382380	-904	50M	False
ECK0365-JW0360	tauD	147	384082	383204	-928	50M	False
ECK0366-JW0361	hemB	147	385181	384180	-1051	50M	True
ECK0367-JW5049	ykiB	147	385569	385324	-295	50M	False
ECK0368-JW0362	yaiT	147	387147	385660	-1537	50M	False
ECK0369-JW5051	yaiU	147	389854	388430	-1474	50M	False
ECK0370-JW0366	yaiV	147	390565	389870	-745	50M	False
ECK0371-JW5052	ampH	147	391741	390557	-1234	50M	False
ECK0372-JW0368	sbmA	147	393295	392048	-1297	50M	False
ECK0373-JW0369	yaiW	147	394402	393281	-1171	50M	False
ECK0374-JW0370	yaiY	147	394787	394452	-385	50M	False
ECK0375-JW5053	yaiZ	147	395241	394933	-358	50M	False
ECK0376-JW0372	ddlA	147	396377	395256	-1171	50M	False
ECK0377-JW0373	yaiB	147	397082	396795	-337	50M	False
ECK0378-JW0374	phoA	147	398598	397156	-1492	50M	False
ECK0379-JW5054	psiF	147	399037	398690	-397	50M	False
ECK0380-JW0376	yaiC	147	400254	399112	-1192	50M	False
ECK0381-JW0377	proC	147	401098	400262	-886	50M	False
ECK0382-JW0378	yaiI	147	401658	401173	-535	50M	False
ECK0383-JW0379	aroL	147	402365	401814	-601	50M	False
ECK0384-JW0380	yaiA	147	402606	402388	-268	50M	False
ECK0385-JW0381	aroM	147	403541	402837	-754	50M	False
ECK0386-JW0382	yaiE	147	403897	403586	-361	50M	False
ECK0387-JW0383	ykiA	147	404386	404078	-358	50M	False
ECK0388-JW0384	rdgC	147	405473	404535	-988	50M	False
ECK0389-JW0385	mak	147	406488	405553	-985	50M	False
ECK0390-JW0386	araJ	147	407935	406724	-1261	50M	False
ECK0391-JW0387	sbcC	147	411207	408034	-3223	50M	False
ECK0392-JW0388	sbcD	147	412406	411177	-1279	50M	False
ECK0393-JW0389	phoB	147	413267	412551	-766	50M	False
ECK0394-JW0390	phoR	147	414620	413298	-1372	50M	False
ECK0395-JW0391	brnQ	147	416346	415000	-1396	50M	False
ECK0396-JW5055	proY	147	417795	416395	-1450	50M	False
ECK0397-JW0393	malZ	147	419768	417924	-1894	50M	False
ECK0398-JW0394	yajB	147	420372	419764	-658	50M	False
ECK0399-JW0395	queA	147	421517	420420	-1147	50M	False
ECK0400-JW0396	tgt	147	422700	421546	-1204	50M	False
ECK0401-JW0397	yajC	147	423055	422696	-409	50M	False
ECK0402-JW0398	secD	147	424930	423056	-1924	50M	True
ECK0403-JW0399	secF	147	425912	424914	-1048	50M	True
ECK0404-JW0400	yajD	147	426388	426014	-424	50M	False
ECK0405-JW0401	tsx	147	427467	426556	-961	50M	False
ECK0406-JW5056	yajI	147	428365	427739	-676	50M	False
ECK0407-JW0403	ybaD	147	428887	428411	-526	50M	False
ECK0408-JW0404	ribD	147	429994	428864	-1180	50M	True
ECK0409-JW0405	ribE	147	430553	430056	-547	50M	True
ECK0410-JW0406	nusB	147	430992	430546	-496	50M	False
ECK0411-JW0407	thiL	147	432026	431043	-1033	50M	True
ECK0412-JW0408	pgpA	147	432543	431998	-595	50M	False
ECK0413-JW0409	yajO	147	433589	432588	-1051	50M	False
ECK0414-JW0410	dxs	147	435631	433742	-1939	50M	True
ECK0415-JW0411	ispA	147	436555	435629	-976	50M	True
ECK0416-JW0412	xseB	147	436797	436528	-319	50M	False
ECK0417-JW0413	thiI	147	438433	436958	-1525	50M	False
ECK0418-JW5057	yajL	147	439095	438478	-667	50M	False
ECK0419-JW0415	panE	147	439969	439031	-988	50M	False
ECK0420-JW5058	yajQ	147	440610	439924	-736	50M	False
ECK0421-JW5059	yajR	147	442126	440729	-1447	50M	False
ECK0422-JW0418	cyoE	147	443159	442242	-967	50M	False
ECK0423-JW0419	cyoD	147	443500	443144	-406	50M	False
ECK0424-JW0420	cyoC	147	444114	443473	-691	50M	False
ECK0425-JW0421	cyoB	147	446095	444077	-2068	50M	False
ECK0426-JW0422	cyoA	147	447064	446090	-1024	50M	False
ECK0427-JW0423	ampG	147	448999	447497	-1552	50M	False
ECK0428-JW0424	yajG	147	449621	449016	-655	50M	False
ECK0429-JW5060	bolA	147	450225	449848	-427	50M	False
ECK0430-JW0426	tig	147	451867	450542	-1375	50M	False
ECK0431-JW0427	clpP	147	452736	452086	-700	50M	False
ECK0432-JW0428	clpX	147	454136	452835	-1351	50M	False
ECK0433-JW0429	lon	147	456678	454297	-2431	50M	False
ECK0434-JW0430	hupB	147	457159	456860	-349	50M	False
ECK0435-JW0431	ppiD	147	459222	457324	-1948	50M	False
ECK0436-JW0432	ybaV	147	459744	459346	-448	50M	False
ECK0437-JW0433	ybaW	147	460236	459811	-475	50M	False
ECK0438-JW0434	ybaX	147	461001	460279	-772	50M	False
ECK0439-JW0435	ybaE	147	462766	461039	-1777	50M	False
ECK0440-JW0436	cof	147	463666	462821	-895	50M	False
ECK0441-JW0437	ybaO	147	464277	463792	-535	50M	False
ECK0442-JW0438	mdlA	147	466079	464280	-1849	50M	False
ECK0443-JW5061	mdlB	147	467853	466045	-1858	50M	False
ECK0444-JW0440	glnK	147	468372	468007	-415	50M	False
ECK0445-JW0441	amtB	147	469688	468375	-1363	50M	False
ECK0446-JW0442	tesB	147	470615	469728	-937	50M	False
ECK0447-JW0443	ybaY	147	471387	470788	-649	50M	False
ECK0448-JW0444	ybaZ	147	471825	471409	-466	50M	False
ECK0450-JW0445	ybaA	147	472461	472081	-430	50M	False
ECK0451-JW5062	ylaB	147	474077	472494	-1633	50M	False
ECK0452-JW5063	ylaC	147	474744	474208	-586	50M	False
ECK0453-JW0448	maa	147	475372	474794	-628	50M	False
ECK0454-JW0449	hha	147	475762	475517	-295	50M	False
ECK0455-JW0450	ybaJ	147	476162	475761	-451	50M	False
ECK0456-JW0451	acrB	147	479857	476681	-3226	50M	False
ECK0457-JW0452	acrA	147	481073	479853	-1270	50M	False
ECK0458-JW0453	acrR	147	481844	481170	-724	50M	False
ECK0459-JW0454	kefA	147	485334	481945	-3439	50M	False
ECK0460-JW0455	ybaM	147	485725	485537	-238	50M	False
