Gene_Name	Accession-1	Left-End-Position	Right-End-Position	Product
phnD	BW25113_RS21315	4313153	4314169	phosphonate/phosphate_ABC_transporter_periplasmic_binding_protein
ibsC	BW25113_RS24275	3050249	3050308	toxic_peptide_IbsC
cyoC	BW25113_RS02225	443502	444116	cytochrome_<i>bo</i><sub>3</sub>_subunit_3
ydcZ	BW25113_RS07600	1512139	1512588	putative_transport_protein_YdcZ
ssuC	BW25113_RS04845	989497	990288	aliphatic_sulfonate_ABC_transporter_membrane_subunit
ykfA	BW25113_RS01285	263808	264671	CP4-6_prophage;_putative_GTP-binding_protein_YkfA
ygeA	BW25113_RS14775	2973302	2973994	amino_acid_racemase_YgeA
manA	BW25113_RS08440	1682833	1684008	mannose-6-phosphate_isomerase
ccmB	BW25113_RS11480	2289841	2290503	cytochrome_<i>c</i>_maturation_protein_B
htrE	BW25113_RS00695	149316	151913	putative_fimbrial_usher_protein_HtrE
pncC	BW25113_RS14055	2817208	2817705	NMN_aminohydrolase
BW25113_RS15580	BW25113_RS15580	3140215	3141099	dienelactone_hydrolase_family_protein
pspG	BW25113_RS21030	4252768	4253010	envelope_stress_response_protein_PspG
yoaI	BW25113_RS09355	1868335	1868439	protein_YoaI
BW25113_RS16680	BW25113_RS16680	3359061	3360077	IS5-like_element_IS5_family_transposase
ymgC	BW25113_RS06060	1212204	1212452	protein_YmgC
ftsY	BW25113_RS17935	3596110	3597603	signal_recognition_particle_receptor
metL	BW25113_RS20440	4119763	4122195	fused_aspartate_kinase/homoserine_dehydrogenase_2
yqaA	BW25113_RS13990	2809871	2810299	DedA_family_protein_YqaA
ycbU	BW25113_RS04885	998345	998887	putative_fimbrial_protein_YcbU
ydcF	BW25113_RS07415	1481492	1482292	DUF218_domain-containing_protein_YdcF
secA	BW25113_RS00490	104766	107471	protein_translocation_ATPase
dtpB	BW25113_RS18105	3634222	3635691	dipeptide/tripeptide:H<sup>+</sup>_symporter_DtpB
paaC	BW25113_RS07295	1449421	1450167	phenylacetyl-CoA_1,2-epoxidase,_structural_subunit
yhgE	BW25113_RS17625	3524074	3525798	DUF4153_domain-containing_protein
ykfG	BW25113_RS01250	259967	260443	CP4-6_prophage;_RadC-like_JAB_domain-containing_protein_YkfG
rclA	BW25113_RS01565	314387	315712	cupric_reductase_RclA
rfaH	BW25113_RS19935	4017693	4018181	transcription_antiterminator_RfaH
kbp	BW25113_RS13875	2789696	2790145	K<sup>+</sup>_binding_protein
ygcR	BW25113_RS14410	2889135	2889914	putative_flavoprotein
efp	BW25113_RS21545	4365516	4366082	protein_chain_elongation_factor_EF-P
yidX	BW25113_RS19210	3868798	3869454	putative_lipoprotein_YidX
ddpB	BW25113_RS07790	1554164	1555186	putative_D,D-dipeptide_ABC_transporter_membrane_subunit_DdpB
rtcR	BW25113_RS17725	3551627	3553225	DNA-binding_transcriptional_activator_RtcR
epd	BW25113_RS15210	3066031	3067050	D-erythrose-4-phosphate_dehydrogenase
flgF	BW25113_RS05610	1129258	1130013	flagellar_basal-body_rod_protein_FlgF
rpmA	BW25113_RS16510	3326221	3326478	50S_ribosomal_protein_L27
BW25113_RS25975	BW25113_RS25975	576810	577118	phage_terminase_large_subunit_family_protein
hyfR	BW25113_RS12995	2605259	2607271	DNA-binding_transcriptional_activator_HyfR
birA	BW25113_RS20615	4163010	4163975	DNA-binding_transcriptional_repressor/biotin-[acetyl-CoA-carboxylase]_ligase_BirA
cydA	BW25113_RS03800	766914	768482	cytochrome_<i>bd</i>-I_subunit_1
gsk	BW25113_RS02465	495581	496885	inosine/guanosine_kinase
ykgR	BW25113_RS01530	308852	308953	uncharacterized_membrane_protein_YkgR
rpsG	BW25113_RS17315	3466901	3467440	30S_ribosomal_protein_S7
yfaY	BW25113_RS11750	2355910	2357112	IPR008135_CinA_family_protein_YfaY
rpmD	BW25113_RS17120	3437902	3438081	50S_ribosomal_protein_L30
insG	BW25113_RS22210	4491920	4493266	KpLE2_phage-like_element;_IS<i>4</i>_putative_transposase
nhoA	BW25113_RS07675	1528281	1529126	arylamine_<i>N</i>-acetyltransferase
nanQ	BW25113_RS16700	3362373	3362837	<i>N</i>-acetylneuraminate_anomerase
potC	BW25113_RS05845	1178282	1179076	spermidine_preferential_ABC_transporter_membrane_subunit_PotC
ynfQ	BW25113_RS23830	1632513	1632701	Qin_prophage;_protein_YnfQ
sspA	BW25113_RS16740	3370141	3370779	stringent_starvation_protein_A
uspG	BW25113_RS03160	636895	637323	universal_stress_protein_G
priC	BW25113_RS02415	485741	486268	primosomal_replication_protein_N''
xerD	BW25113_RS15050	3032206	3033102	site-specific_recombinase
lit	BW25113_RS05925	1194151	1195044	cell_death_peptidase_Lit
zitB	BW25113_RS03900	779338	780279	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup>_exporter
sad	BW25113_RS07995	1607572	1608960	succinate_semialdehyde_dehydrogenase_(NAD(P)<sup>+</sup>)_Sad
ghxQ	BW25113_RS14995	3020480	3021847	guanine/hypoxanthine_transporter_GhxQ
pyrC	BW25113_RS05535	1117017	1118063	dihydroorotase
menA	BW25113_RS20390	4109351	4110277	1,4-dihydroxy-2-naphthoate_octaprenyltransferase
mlaB	BW25113_RS16540	3330322	3330615	intermembrane_phospholipid_transport_system_protein_MlaB
pgl	BW25113_RS03985	794042	795037	6-phosphogluconolactonase
caiT	BW25113_RS00210	40417	41931	L-carnitine:&gamma;-butyrobetaine_antiporter
metA	BW25113_RS20820	4204208	4205137	homoserine_<i>O</i>-succinyltransferase
ygiQ	BW25113_RS15655	3152286	3154505	radical_SAM_superfamily_protein_YgiQ
BW25113_RS10330	BW25113_RS10330	2038030	2038105	tRNA-Asn
hldE	BW25113_RS15850	3188679	3190112	fused_heptose_7-phosphate_kinase/heptose_1-phosphate_adenyltransferase
fumE	BW25113_RS15220	3068045	3068554	fumarase_E
fadK	BW25113_RS08900	1777288	1778934	medium-chain-fatty-acid&mdash;CoA_ligase
ydcR	BW25113_RS07555	1504260	1505666	fused_putative_DNA-binding_transcriptional_regulator/putative_aminotransferase_YdcR
yiaT	BW25113_RS18605	3744488	3745228	outer_membrane_protein_YiaT
pptA	BW25113_RS07665	1527309	1527542	tautomerase_PptA
ybfP	BW25113_RS03560	710868	711362	lipoprotein_YbfP
ygiS	BW25113_RS15675	3159470	3161077	putative_deoxycholate_binding_periplasmic_protein
hofB	BW25113_RS00530	112201	113586	T2SSE_family_protein
rem	BW25113_RS08190	1638908	1639159	Qin_prophage;_protein_Rem
yjgH	BW25113_RS22060	4462631	4463026	RutC_family_protein_YjgH
rpsR	BW25113_RS21835	4415656	4415883	30S_ribosomal_protein_S18
mhpA	BW25113_RS01785	362844	364508	3-(3-hydroxyphenyl)propanoate_hydroxylase
kefC	BW25113_RS00245	47769	49631	K<sup>+</sup>_:_H<sup>+</sup>_antiporter_KefC
rutG	BW25113_RS05235	1063967	1065295	pyrimidine:H<sup>+</sup>_symporter
ybfB	BW25113_RS03630	729232	729558	uncharacterized_protein_YbfB
mcrB	BW25113_RS22625	4567775	4569154	5-methylcytosine-specific_restriction_endonuclease_subunit_McrB
dppA	BW25113_RS18385	3699458	3701065	dipeptide_ABC_transporter_periplasmic_binding_protein
BW25113_RS01450	BW25113_RS01450	293092	293430	LysR_family_transcriptional_regulator
prfA	BW25113_RS06305	1260468	1261550	peptide_chain_release_factor_RF1
secF	BW25113_RS02115	424961	425932	Sec_translocon_accessory_complex_subunit_SecF
hyfD	BW25113_RS12960	2598170	2599609	hydrogenase_4_component_D
yffB	BW25113_RS12885	2584606	2584962	putative_reductase_YffB
gspI	BW25113_RS17260	3455333	3455710	type_II_secretion_system_minor_pseudopilin_GspI
yphG	BW25113_RS13290	2672823	2676104	DUF5107_domain-containing_protein_YphG
nanE	BW25113_RS16710	3363706	3364395	probable_<i>N</i>-acetylmannosamine-6-phosphate_2-epimerase
hokA	BW25113_RS18455	3713808	3713960	small_toxic_polypeptide
BW25113_RS23060	BW25113_RS23060	777139	777264	RtT_sRNA
bdcA	BW25113_RS22065	4463157	4463870	c-di-GMP-binding_biofilm_dispersal_mediator_protein
folM	BW25113_RS08405	1675233	1675955	dihydromonapterin_reductase
ecpC	BW25113_RS01495	302518	305043	putative_fimbrial_usher_protein_EcpC
nimT	BW25113_RS09370	1869930	1871111	2-nitroimidazole_exporter
rplI	BW25113_RS21840	4415925	4416374	50S_ribosomal_protein_L9
ycjR	BW25113_RS06885	1370291	1371079	3-dehydro-D-guloside_4-epimerase
sapA	BW25113_RS06780	1349724	1351367	peptide_ABC_transporter_substrate-binding_protein_SapA
rzpQ	BW25113_RS08145	1633287	1633784	Qin_prophage;_DUF2514_domain-containing_protein_RzpQ
rpmH	BW25113_RS19250	3877696	3877836	50S_ribosomal_protein_L34
artJ	BW25113_RS04465	895300	896031	L-arginine_ABC_transporter_periplasmic_binding_protein
BW25113_RS19540	BW25113_RS19540	3940232	3940308	tRNA-Asp
BW25113_RS12525	BW25113_RS12525	2514410	2514485	tRNA-Val
abgR	BW25113_RS07025	1398998	1399906	putative_LysR-type_DNA-binding_transcriptional_regulator_AbgR
helD	BW25113_RS04990	1019927	1021981	DNA_helicase_IV
yjfK	BW25113_RS21735	4401119	4401778	DUF2491_domain-containing_protein_YjfK
lolE	BW25113_RS05815	1172776	1174020	lipoprotein_release_complex_-_inner_membrane_subunit
ecnB	BW25113_RS21555	4366370	4366516	bacteriolytic_entericidin_B_lipoprotein
smf	BW25113_RS17035	3425795	3426919	protein_Smf
citE	BW25113_RS03205	645038	645946	citrate_lyase_&beta;_subunit
fadJ	BW25113_RS12215	2450494	2452638	multifunctional_3-hydroxyacyl-CoA_dehydrogenase/3-hydroxyacyl-CoA_epimerase/enoyl-CoA_hydratase_FadJ
chaB	BW25113_RS06350	1267575	1267805	putative_cation_transport_regulator_ChaB
ybgO	BW25113_RS03705	743377	744438	putative_fimbrial_protein_YbgO
nrdR	BW25113_RS02140	428458	428907	NrdR_transcriptional_repressor
lpxL	BW25113_RS05495	1111118	1112038	lauroyl_acyltransferase
yfcR	BW25113_RS12190	2444551	2445063	putative_fimbrial_protein_YfcR
yhjY	BW25113_RS18410	3705596	3706294	putative_outer_membrane_protein_YhjY
yecA	BW25113_RS09985	1984435	1985100	uncharacterized_iron-binding_protein_YecA
entS	BW25113_RS03075	617756	619006	enterobactin_exporter_EntS
tas	BW25113_RS14745	2964956	2965996	putative_NADP(H)-dependent_aldo-keto_reductase_Tas
php	BW25113_RS17510	3501071	3501949	putative_hydrolase
yjcH	BW25113_RS21125	4274827	4275141	DUF485_domain-containing_inner_membrane_protein_YjcH
agaC	BW25113_RS16275	3278044	3278847	galactosamine-specific_PTS_enzyme_IIC_component
yfaT	BW25113_RS11640	2327815	2328438	DUF1175_domain-containing_protein_YfaT
ysdD	BW25113_RS25780	3877386	3877466	protein_YsdD
modF	BW25113_RS03945	787772	789244	ABC_family_protein_ModF
rspA	BW25113_RS08275	1648184	1649398	mandelate_racemase/muconate_lactonizing_enzyme_family_protein_RspA
hemD	BW25113_RS19755	3982448	3983188	uroporphyrinogen-III_synthase
ykgH	BW25113_RS01595	320407	321075	uncharacterized_protein_YkgH
mltC	BW25113_RS15390	3097792	3098871	membrane-bound_lytic_murein_transglycosylase_C
BW25113_RS03880	BW25113_RS03880	776825	776900	tRNA-Lys
xapB	BW25113_RS12550	2516088	2517344	xanthosine:H+_symporter_XapB
yaiA	BW25113_RS02015	402435	402626	protein_YaiA
yajG	BW25113_RS02245	449045	449623	lipoprotein
ymgG	BW25113_RS06095	1218100	1218444	PF13436_family_protein_YmgG
sgcE	BW25113_RS22345	4516722	4517354	KpLE2_phage-like_element;_putative_epimerase_SgcE
torT	BW25113_RS05170	1051717	1052745	periplasmic_trimethylamine-N-oxide_binding_protein
chbF	BW25113_RS09070	1811405	1812757	monoacetylchitobiose-6-phosphate_hydrolase
dut	BW25113_RS18900	3807289	3807747	dUTP_diphosphatase
murI	BW25113_RS20585	4155356	4156213	glutamate_racemase
waaQ	BW25113_RS18860	3800424	3801494	lipopolysaccharide_core_heptosyltransferase_3
motA	BW25113_RS09905	1970509	1971396	motility_protein_A
recG	BW25113_RS18960	3818570	3820651	ATP-dependent_DNA_helicase_RecG
treC	BW25113_RS22015	4452871	4454526	trehalose-6-phosphate_hydrolase
yfjP	BW25113_RS13730	2761069	2761932	CP4-57_prophage;_putative_GTP-binding_protein_YfjP
hybB	BW25113_RS15555	3136345	3137523	hydrogenase_2_membrane_subunit
yigF	BW25113_RS19820	3995779	3996159	DUF2628_domain-containing_protein
ddlB	BW25113_RS00460	98720	99640	D-alanine&mdash;D-alanine_ligase_B
ubiA	BW25113_RS20980	4242944	4243816	4-hydroxybenzoate_octaprenyltransferase
ybhJ	BW25113_RS04005	798959	801220	putative_hydratase_YbhJ
ynfF	BW25113_RS08310	1654813	1657236	putative_selenate_reductase_YnfF
gltS	BW25113_RS18965	3820820	3822025	glutamate:sodium_symporter
nhaB	BW25113_RS06175	1228632	1230173	Na<sup>+</sup>:H<sup>+</sup>_antiporter_NhaB
hycG	BW25113_RS14150	2836802	2837569	hydrogenase_3_iron-sulfur_protein_HycG
agaB	BW25113_RS16270	3277529	3278005	galactosamine-specific_PTS_enzyme_IIB_component
dinQ	BW25113_RS18130	3641065	3641148	membrane_toxin_DinQ
BW25113_RS03865	BW25113_RS03865	776299	776374	tRNA-Lys
iprA	BW25113_RS01935	389962	390585	putative_DNA-binding_transcriptional_regulator_IprA
yacL	BW25113_RS00595	130875	131237	PF06062_family_protein_YacL
fabA	BW25113_RS04945	1011408	1011926	&beta;-hydroxyacyl-acyl_carrier_protein_dehydratase/isomerase
nhaR	BW25113_RS00095	18721	19620	DNA-binding_transcriptional_activator_NhaR
xdhB	BW25113_RS14910	2995973	2996851	putative_xanthine_dehydrogenase_FAD-binding_subunit_XdhB
thiG	BW25113_RS20705	4181793	4182563	1-deoxy-D-xylulose_5-phosphate:thiol_sulfurtransferase
yehB	BW25113_RS11000	2181909	2184389	putative_fimbrial_usher_protein_YehB
mdtD	BW25113_RS10845	2154945	2156360	putative_multidrug_efflux_pump_MdtD
msrB	BW25113_RS09305	1856273	1856686	methionine_sulfoxide_reductase_B
dld	BW25113_RS11130	2215664	2217379	quinone-dependent_D-lactate_dehydrogenase
BW25113_RS12285	BW25113_RS12285	2465023	2465541	hypothetical_protein
yddH	BW25113_RS07670	1527539	1528108	flavin_reductase-like_protein_YddH
ysgA	BW25113_RS19885	4008714	4009529	putative_dienelactone_hydrolase
symE	BW25113_RS22630	4569316	4569657	nucleoid-associated_protein_SymE
nlpC	BW25113_RS08940	1786524	1786988	NlpC/P60_family_lipoprotein_NlpC
nagA	BW25113_RS03490	697059	698207	<i>N</i>-acetylglucosamine-6-phosphate_deacetylase
yiaG	BW25113_RS18445	3712838	3713128	putative_DNA-binding_transcriptional_regulator_YiaG
gspL	BW25113_RS15420	3104487	3105452	type_II_secretion_system_protein_GspL
thrS	BW25113_RS08995	1794899	1796827	threonine&mdash;tRNA_ligase
glgP	BW25113_RS17755	3557494	3559941	glycogen_phosphorylase
rbsK	BW25113_RS19500	3930654	3931583	ribokinase
yjfP	BW25113_RS21770	4406769	4407518	carboxylesterase
aroB	BW25113_RS17560	3510757	3511845	3-dehydroquinate_synthase
otsB	BW25113_RS09930	1975068	1975868	trehalose-6-phosphate_phosphatase
sdaA	BW25113_RS09490	1891189	1892553	L-serine_deaminase_I
mscL	BW25113_RS17060	3431383	3431793	large_conductance_mechanosensitive_channel
yfiH	BW25113_RS13545	2727662	2728393	purine_nucleoside_phosphorylase_YfiH
rpoS	BW25113_RS14265	2859918	2860910	RNA_polymerase_sigma_factor_RpoS
ygeH	BW25113_RS14835	2985453	2986829	putative_transcriptional_regulator_YgeH
kdgR	BW25113_RS09575	1903565	1904356	DNA-binding_transcriptional_repressor_KdgR
hisF	BW25113_RS10580	2089325	2090101	imidazole_glycerol_phosphate_synthase_subunit_HisF
lysC	BW25113_RS20875	4221812	4223161	aspartate_kinase_III
selA	BW25113_RS18645	3753218	3754609	selenocysteine_synthase
rfaD	BW25113_RS18795	3787347	3788279	ADP-L-glycero-D-mannoheptose_6-epimerase
yfbP	BW25113_RS11885	2382595	2383443	uncharacterized_protein_YfbP
yjjP	BW25113_RS22720	4591905	4592675	threonine/serine_exporter_ThrE_family_protein
yicR	BW25113_RS18890	3805251	3805919	RadC-like_JAB_domain-containing_protein_YicR
rihC	BW25113_RS00145	27293	28207	ribonucleoside_hydrolase_RihC
recQ	BW25113_RS19845	3999224	4001053	ATP-dependent_DNA_helicase_RecQ
ydcI	BW25113_RS07460	1488405	1489328	DNA-binding_transcriptional_dual_regulator_YdcI
cfa	BW25113_RS08695	1735670	1736818	cyclopropane_fatty_acyl_phospholipid_synthase
asd	BW25113_RS17780	3567135	3568238	aspartate-semialdehyde_dehydrogenase
yncL	BW25113_RS23775	1511356	1511451	uncharacterized_protein_YncL
glpK	BW25113_RS20370	4105642	4107150	glycerol_kinase
ynbC	BW25113_RS07395	1473395	1475152	hydrolase/methyltransferase_domain-containing_protein_YnbC
cynR	BW25113_RS01735	353502	354401	DNA-binding_transcriptional_dual_regulator_CynR
yeaH	BW25113_RS09335	1863212	1864495	DUF444_domain-containing_protein_YeaH
yhdJ	BW25113_RS16915	3405012	3405896	DNA_adenine_methyltransferase
yeaE	BW25113_RS09320	1859039	1859893	methylglyoxal_reductase_YeaE
ascB	BW25113_RS14135	2834349	2835773	6-phospho-&beta;-glucosidase_AscB
yhhN	BW25113_RS17955	3599111	3599737	PF07947_family_protein_YhhN
fdoG	BW25113_RS20210	4076132	4079182	formate_dehydrogenase_O_subunit_&alpha;
insH1	BW25113_RS01325	269812	270828	CP4-6_prophage;_IS<i>5</i>_transposase_and_trans-activator
yneJ	BW25113_RS08000	1609061	1609942	PtrR
yjiN	BW25113_RS22585	4555783	4557063	DUF445_domain-containing_protein
BW25113_RS22225	BW25113_RS22225	4496443	4496700	hypothetical_protein
hha	BW25113_RS02375	475546	475764	haemolysin_expression-modulating_protein_Hha
BW25113_RS01545	BW25113_RS01545	311002	312164	IS3-like_element_IS3_family_transposase
potA	BW25113_RS05855	1179914	1181050	spermidine_preferential_ABC_transporter_ATP_binding_subunit
BW25113_RS23065	BW25113_RS23065	1092659	1092795	RtT_sRNA
guaD	BW25113_RS14990	3019128	3020444	guanine_deaminase
rraB	BW25113_RS22090	4468290	4468706	ribonuclease_E_inhibitor_protein_B
BW25113_RS10360	BW25113_RS10360	2051508	2051583	tRNA-Asn
yqeF	BW25113_RS14795	2977770	2978951	putative_acyltransferase
fabZ	BW25113_RS00900	198588	199043	3-hydroxy-acyl-[acyl-carrier-protein]_dehydratase
zraP	BW25113_RS20765	4191191	4191616	signaling_pathway_modulator_ZraP
sodB	BW25113_RS08665	1729635	1730216	superoxide_dismutase_(Fe)
ispF	BW25113_RS14290	2864660	2865139	2-<i>C</i>-methyl-D-erythritol_2,4-cyclodiphosphate_synthase
mrcB	BW25113_RS00750	161217	163751	PBP1B&gamma;
ydeI	BW25113_RS08055	1618362	1618754	BOF_family_protein_YdeI
napF	BW25113_RS11520	2296482	2296976	ferredoxin-type_protein
yehL	BW25113_RS11055	2198075	2199163	putative_AAA+_MoxR_family_ATPase_YehL
osmB	BW25113_RS06710	1337367	1337585	osmotically-inducible_lipoprotein_OsmB
proY	BW25113_RS02080	416442	417815	putative_transporter_ProY
tyrS	BW25113_RS08570	1710205	1711479	tyrosine&mdash;tRNA_ligase
yiaN	BW25113_RS18575	3738164	3739441	2,3-diketo-L-gulonate:Na<sup>+</sup>_symporter_-_membrane_subunit
marB	BW25113_RS08030	1614246	1614464	multiple_antibiotic_resistance_protein_MarB
dicC	BW25113_RS08220	1641877	1642107	Qin_prophage;_putative_DNA-binding_transcriptional_regulator_DicC
yiiR	BW25113_RS20345	4102243	4102683	DUF805_domain-containing_protein_YiiR
zwf	BW25113_RS09710	1929096	1930571	NADP+-dependent_glucose-6-phosphate_dehydrogenase
tdcE	BW25113_RS16160	3253483	3255777	2-oxobutanoate_formate-lyase/pyruvate_formate-lyase_4
hcp	BW25113_RS04530	907618	909270	protein_<i>S</i>-nitrosylase
BW25113_RS06340	BW25113_RS06340	1265694	1265801	small_toxic_polypeptide_LdrA/LdrC
kch	BW25113_RS06520	1303273	1304526	voltage-gated_potassium_channel_protein
yqeJ	BW25113_RS14815	2982663	2983145	protein_YqeJ
hcxB	BW25113_RS04160	831807	832892	hydroxycarboxylate_dehydrogenase_B
zupT	BW25113_RS15775	3175909	3176682	divalent_metal_ion_transporter_ZupT
cnoX	BW25113_RS02540	512881	513735	chaperedoxin
cpxR	BW25113_RS20305	4094900	4095598	DNA-binding_transcriptional_dual_regulator_CpxR
aroG	BW25113_RS03915	781089	782141	3-deoxy-7-phosphoheptulonate_synthase,_Phe-sensitive
rsfS	BW25113_RS03310	664175	664492	ribosomal_silencing_factor_RsfS
yjhQ	BW25113_RS22380	4523056	4523601	KpLE2_phage-like_element;_putative_acetyltransferase_TopAI_antitoxin_YjhQ
murB	BW25113_RS20610	4161985	4163013	UDP-<i>N</i>-acetylenolpyruvoylglucosamine_reductase
BW25113_RS03470	BW25113_RS03470	692513	692589	tRNA-Met
ssb	BW25113_RS21080	4264053	4264589	ssDNA-binding_protein
hyi	BW25113_RS02615	531166	531942	hydroxypyruvate_isomerase
pncA	BW25113_RS09255	1846144	1846785	nicotinamidase
hcaE	BW25113_RS13235	2662391	2663752	putative_3-phenylpropionate/cinnamate_dioxygenase_subunit_&alpha;
ycjD	BW25113_RS06755	1345664	1346017	DUF559_domain-containing_protein_YcjD
pdxA	BW25113_RS00270	52427	53416	4-hydroxythreonine-4-phosphate_dehydrogenase
yhjV	BW25113_RS18355	3693923	3695194	putative_transporter_YhjV
BW25113_RS26005	BW25113_RS26005	2779756	2782008	hypothetical_protein
cobB	BW25113_RS05825	1174976	1175815	NAD-dependent_protein_deacylase
alaA	BW25113_RS11960	2401040	2402257	glutamate&mdash;pyruvate_aminotransferase_AlaA
yieK	BW25113_RS19330	3892031	3892753	putative_glucosamine-6-phosphate_deaminase_YieK
rpoC	BW25113_RS20690	4175278	4179501	RNA_polymerase_subunit_&beta;'
allC	BW25113_RS02650	539513	540748	allantoate_amidohydrolase
ymgA	BW25113_RS06050	1211524	1211796	putative_two-component_system_connector_protein_YmgA
yphA	BW25113_RS13260	2666705	2667127	putative_inner_membrane_protein
greA	BW25113_RS16490	3321598	3322074	transcription_elongation_factor_GreA
rcnB	BW25113_RS10990	2180439	2180777	periplasmic_protein_involved_in_nickel/cobalt_export
sgcX	BW25113_RS22370	4520347	4521468	KpLE2_phage-like_element;_putative_endoglucanase_with_Zn-dependent_exopeptidase_domain
rdgB	BW25113_RS15340	3090040	3090633	dITP/XTP_pyrophosphatase
flgC	BW25113_RS05595	1126894	1127298	flagellar_basal-body_rod_protein_FlgC
BW25113_RS11690	BW25113_RS11690	2343130	2343372	LysR_family_transcriptional_regulator
yadK	BW25113_RS00680	147490	148086	putative_fimbrial_protein_YadK
leuB	BW25113_RS00365	77354	78445	3-isopropylmalate_dehydrogenase
yjeI	BW25113_RS21530	4362626	4362979	DUF4156_domain-containing_lipoprotein_YjeI
yjfM	BW25113_RS21745	4402204	4402842	DUF1190_domain-containing_protein_YjfM
ydiR	BW25113_RS08885	1774658	1775596	putative_electron_transfer_flavoprotein_subunit_YdiR
ypfH	BW25113_RS12900	2586431	2587129	esterase_YpfH
BW25113_RS13825	BW25113_RS13825	2779121	2779196	tRNA-Ile
fldA	BW25113_RS03535	706391	706921	flavodoxin_1
cmoA	BW25113_RS09805	1946959	1947702	carboxy-<i>S</i>-adenosyl-L-methionine_synthase
yecT	BW25113_RS09840	1956229	1956717	protein_YecT
eutA	BW25113_RS12780	2558840	2560243	ethanolamine_ammonia-lyase_reactivase_EutA
ynjD	BW25113_RS09185	1833004	1833657	putative_ABC_transporter_ATP-binding_protein_YnjD
borD	BW25113_RS02875	574056	574349	DLP12_prophage;_prophage_lipoprotein_BorD
ldtA	BW25113_RS10390	2055872	2056807	L,D-transpeptidase_LdtA
lsrG	BW25113_RS07955	1601256	1601546	(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione_isomerase
gfcB	BW25113_RS05120	1044144	1044788	lipoprotein_GfcB
yabR	BW25113_RS25405	81954	81998	protein_YabR
srlD	BW25113_RS14080	2821096	2821875	sorbitol-6-phosphate_2-dehydrogenase
